Log file produced by: Storyboard Pro (StoryboardPro.exe) version 25.0.0 build 23967 2025-06-05 18:44:20
﻿2026-04-01 17:48:18;ACTION;Start Paste Panel(s) (SBU_SboardUtil.cpp,5019)
﻿  2026-04-01 17:50:19;ACTION;Start isSaveProjectPossible (SC_SaveUtil.cpp,335)
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard+; OK 
﻿    2026-04-01 17:50:19;Delete;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/ACTcidentMAIN-260401.sboard+; OK 
﻿  2026-04-01 17:50:19;ACTION;End isSaveProjectPossible (SC_SaveUtil.cpp,335)
﻿  2026-04-01 17:50:19;ACTION;Start TUElementMgr::writeToVersionAuxFile (tuelementmgr.cpp,2082)
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/scene.elementTable;scene.elementTable~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/scene.elementTable; OK 
﻿  2026-04-01 17:50:19;ACTION;End TUElementMgr::writeToVersionAuxFile (tuelementmgr.cpp,2082)
﻿  2026-04-01 17:50:19;ACTION;Start saveDrawings - delete drawings (tudrawinglist.cpp,702)
﻿  2026-04-01 17:50:19;ACTION;End saveDrawings - delete drawings (tudrawinglist.cpp,702)
﻿  2026-04-01 17:50:19;ACTION;Start saveDrawings - rename to temp name (tudrawinglist.cpp,732)
﻿  2026-04-01 17:50:19;ACTION;End saveDrawings - rename to temp name (tudrawinglist.cpp,732)
﻿  2026-04-01 17:50:19;ACTION;Start saveDrawings - rename to final name (tudrawinglist.cpp,759)
﻿  2026-04-01 17:50:19;ACTION;End saveDrawings - rename to final name (tudrawinglist.cpp,759)
﻿  2026-04-01 17:50:19;ACTION;Start saveDrawings - copy all drawings from temp to project (tudrawinglist.cpp,796)
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-7.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-30.tvg;d-30.tvg~ OK 
﻿    2026-04-01 17:50:19;Create;C:/Users/JTR/OneDrive/문서/Toon Boom Storyboard Pro Library/ACTcidentMAIN-260401/elements/Draw/Draw-9.tvg; OK 
﻿    2026-04-01 17:50:19;Rename;C:/Users/JTR/AppData/Local/Temp/ToonBoomSessionTempDir/1700/elements/1.d/d-31.tvg;d-31.tvg~ OK 
